citation_id,interpretation_id,source_id,"sequence_identifier","passage"
citation_aberdeen_1,int_phoenix_aberdeen,source_aberdeen_bestiary,"""Folio 55r""","""The phoenix is a bird of Arabia, so called either because its colouring is Phoenician purple, or because there is only one of its kind in the whole world. It lives for upwards of five hundred years, and when it observes that it has grown old, it erects a funeral pyre for itself from small branches of aromatic plants, and having turned to face the rays of the sun, beating its wings, it deliberately fans the flames for itself and is consumed in the fire. But on the ninth day after that, the bird rises from its own ashes."""
citation_aberdeen_2,int_lion_aberdeen_1,source_aberdeen_bestiary,"""Folio 7v-8r""","""There are said to be three kinds. Of these, the ones which are short in stature, with curly manes, are peaceable; the tall ones, with straight hair, are fierce. Their brow and tail show their mettle; their courage is in their breast, their resolution in their head. They fear the rumbling sound of wheels, but are even more frightened by fire. The lion takes pride in the strength of its nature; it does not know how to join in the ferocity of other kinds of wild beasts, but like a king disdains the company of large numbers. Those who study nature say that the lion has three main characteristics. The first is that it loves to roam amid mountain peaks. If it happens that the lion is pursued by hunters, it picks up their scent and obliterates the traces behind it with its tail. [...] The second characteristic of the lion is that when it sleeps, it seems to have its eyes open. [...] The third characteristic of the lion is that when a lioness gives birth to her cubs, she produces them dead and watches over them for three days, until their father comes on the third day and breathes into their faces and restores them to life. [...] Where men are concerned, it is the nature of lions not to grow angry unless they are harmed. An example which thoughtful men should heed; for men grow angry even when they have not been harmed, and they oppress the innocent, although Christian law bids them set even the guilty free. The compassion of lions is apparent from endless examples. They spare those whom they have brought down. They allow captives whom they encounter to return home. They vent their rage on men rather than women. They do not kill children except in time of great hunger. Equally, lions refrain from over-feeding. First, because they drink and feed on alternate days; and often, if their food remains undigested, they postpone the next feed. Then, because they feel uncomfortable when they have devoured more meat than they should, they insert their paws in their mouth and pull the food out, of their own accord. And when they have to take flight, they do exactly the same thing if they are full. Missing teeth show that a lion is old. Lions mate face to face; and not only lions, but lynxes, and camels, and elephants, and rhinoceroses, and tigers."""
citation_aberdeen_3,int_eagle_aberdeen,source_aberdeen_bestiary,"""Folio 61r""","""The eagle is so called because of the sharpness of its eyes, for it is said to be of such keen vision that it glides above the sea on unmoving wings, out of human sight, yet from such a height sees small fish swimmming below and, swooping down like a missile thrown from a siege engine, it seizes its prey on the wing and carries it to land. When the eagle grows old, however, its wings grow heavy, and its eyes grow dim. Then it seeks out a spring and, turning away from it, flies up into the atmosphere of the sun; there it sets its wings alight and, likewise, burns off the dimness in its eyes in the sun's rays. Descending at length, it immerses itself in the spring three times; immediately it is restored to the full strength of its wings, the former brightness of its eyes."""
citation_aberdeen_4,int_snake_aberdeen,source_aberdeen_bestiary,"""Folio 71r-72r""","""The snake has three characteristics. The first of these is that when it grows old, its eyes grow dim; if it wants to regain its youth, it fasts for many days until its skin grows loose; then it seeks out a narrow crack in a rock, enters it, and scrapes through, sloughing off its old skin. [...] The snake's second characteristic is this: when it comes to a river to drink water, it does not bring its venom with it, but discharges it into a pit. [...] All snakes suffer from poor sight; they can rarely see what is in front of them. This is not without reason, since their eyes are not at the front but in the temples of the head, so that they hear better than they see. No creature moves its tongue as swiftly as the snake, to such an extent that it seems to have a triple tongue, when in fact there is only one. The bodies of snakes are moist, so that wherever they go, they mark their path with moisture. The tracks of snakes are such that, since they seem to lack feet, they crawl using their flanks and the pressure of their scales, which are laid out in the same pattern from the throat to the lowest part of the belly. For they support themselves on their scales as if on claws, and on their flanks as if on legs. As a result, if a snake is struck on any part of the body, from the belly to the head, it is disabled and cannot get away quickly, because where the blow falls, it dislocates the spine, through which the foot-like movement of the flanks and the motion of the body are activated. Snakes are said to live for a long time, to such an extent that it also claimed that when they shed their old skins, they shed their old age and regain their youth. The snake's skin is called exuvie, because they shed it, exuere, when they grow old."""
citation_aberdeen_5,int_unicorn_aberdeen,source_aberdeen_bestiary,"""Folio 15r""","""The monoceros is a monster the body of a horse, the feet of an elephant and a tail very like that of a deer. A magnificent, marvellous horn projects from the middle of its forehead, four feet in length, so sharp that whatever it strikes is easily pierced with the blow. No living monoceros has ever come into man's hands, and while it can be killed, it cannot be captured."""
citation_aldrovandi_1,int_satyr_aldrovandi,source_monstrorum_historia_aldrovandi,"""Capitolo 2: Diversità nella specie umana""","""Satyrs, Tritons, Nymphs, Nereids, and Sirens are also deservedly placed by many in the category of wild men."""
citation_aldrovandi_10,int_anomaly_aldrovandi_2,source_monstrorum_historia_aldrovandi,"""Capitolo 5: Anomalie delle singole parti del corpo""","""Ora, qualcuno sosterrà che il motivo per cui talvolta, da genitori normali, nasce un bambino mutilo è che, nell'utero, il feto perde quella parte del corpo a causa di qualche malattia. Ma ciò non è condivisibile, dal momento che la testa è la parte principale, e se essa viene compromessa o perduta, il feto perisce nell'utero. Né bisogna ricorrere, per spiegare la generazione di un simile mostro, alla suggestione, poiché la forza della suggestione, per quanto intensa, non può eliminare una porzione della materia esistente nell'u-tero. Per questo motivo si dovrà concludere che, per qualche ragione, la materia destinata alla formazione della testa può venire dispersa e deviata verso il petto. E poiché la materia seminale conserva sempre la facoltà di generare quella determinata parte, cui in origine era destinata, ecco che i lineamenti del volto possono apparire sul petto."""
citation_aldrovandi_11,int_anomaly_aldrovandi_3,source_monstrorum_historia_aldrovandi,"""Capitolo 5: Anomalie delle singole parti del corpo""","""Nell'opera di Ambroise Paré è riportata l'effigie di una fanciulla a due teste, la quale era molto bella e ben formata in tutte le membra, ma aveva due teste, entrambe le quali avevano la medesima necessità di bere, mangiare, dormire e parlare. Questo mostro elemosinava di che vivere andando di porta in porta, tuttavia fu infine allontanato dalla Baviera su ordine dei governanti, poiché temevano che le donne incinte, vedendo frequentemente il mostro, trasmettessero quella stessa deformità ai propri figli."""
citation_aldrovandi_2,int_hermaphrodite_aldrovandi,source_monstrorum_historia_aldrovandi,"""Capitolo 2: Diversità nella specie umana""","""At the end of this category, we place those distinguished by being composed of both sexes, which includes Androgynes, or Hermaphrodites."""
citation_aldrovandi_3,int_mandrake_aldrovandi,source_monstrorum_historia_aldrovandi,,"""Furthermore, there is a certain plant among the Greeks called andreikelos, which is similar to a man – the name being formed by syncope and the change of a smooth breathing to a rough one. This plant seems to correspond with the Mandrake, which reflects the basic outlines of the human figure in its root; this is why Columella called the Mandrake 'half-human,' writing: 'Though the mandrake, sown with frantic grass, produces flowers of the half-human, and the mournful Hemlock.' This same plant was called anthropomorphos by Pythagoras, as it reflects the form of a man. We might also pass over other plants representing the human figure, such as certain species of Satyrium orchids, one of which has a flower that beautifully mimics the human shape; for this reason, it is known to the Greeks as anthropozoos, as if the plant bears the image of a living human in its bloom."""
