habitat_id,label,type,origin_context,category,description
habitat_africa,Africa,GeographicPlace,,Terrestrial,"""The African continent invoked in classical and medieval sources as the remote homeland of exotic and monstrous creatures. In the ancient and medieval imagination, Africa was a space of geographic otherness."""
habitat_arabia,Arabia,GeographicPlace,,Terrestrial,"""The arid lands of the Arabian peninsula, a remote eastern region of deserts and aromatic groves traditionally held to be the dwelling of the phoenix, which there builds its spice-laden nest of frankincense and myrrh."""
habitat_cave,Cave,RealWorldPlace,,Terrestrial,"""A natural rocky hollow or cavern."""
habitat_chamber_of_secrets,Chamber of Secrets,ImaginaryPlace,source_harry_potter_book_2,,"""A vast underground chamber hidden beneath Hogwarts School of Witchcraft and Wizardry, built by Salazar Slytherin in the 10th century to conceal his basilisk."""
"habitat_cloud_kingdom ","Cloud Kingdom ",ImaginaryPlace,source_barbie,Aerial,"""The Cloud Kingdom is the mystical kingdom floating high above the earth among the clouds location where the movie takes place."""
habitat_desert,Desert,RealWorldPlace,,Terrestrial,"""An arid expanse of sand and barren ground."""
habitat_dry_places,Dry places,RealWorldPlace,,Terrestrial,"""Arid dry environment with scarce vegetation."""
habitat_duloc_swamp,Swamp,ImaginaryPlace,source_shrek,Terrestrial,"""The magical swamp is surrounded by dense trees and mossy water, home of Shrek."""
habitat_edge_of_world,Edge of the World,ImaginaryPlace,source_teogonia,,"""The far western limit of the cosmos in Hesiod's Theogony, beyond glorious Ocean toward Night and near the Hesperides, where the Gorgons dwell at the boundary of the known world."""
habitat_fantastica,Fantastica,ImaginaryPlace,source_unendliche_geschichte,,"""Fantastica is the limitless realm of imagination in 'The Neverending Story', ruled by the Childlike Empress, home to all imagined creatures, and sustained by human dreams - threatened by the Nothing when people cease to believe."""
habitat_forbidden_forest,Forbidden Forest,ImaginaryPlace,source_harry_potter_book_1,,"""The Forbidden Forest, also known as the Dark Forest, was a forest that bordered the edges of the grounds of Hogwarts School of Witchcraft and Wizardry."" "
habitat_forests,Forests,RealWorldPlace,,Terrestrial,"""A dense woodland environment characterized by thick tree cover, serving as a natural habitat for many creatures."""
habitat_great_riddle_gate,Great Riddle Gate,ImaginaryPlace,source_unendliche_geschichte,,"""The Great Riddle Gate is the first of three gates leading to the Southern Oracle in Fantastica, formed by two facing sphinxes whose gaze freezes the unworthy in place, condemning them to solve all the world's riddles or perish."""
habitat_heaven_of_jupyter,Heaven of Jupiter,ImaginaryPlace,source_dante_paradiso,,"""The sixth celestial sphere of Dante's Paradise, the heaven of just rulers, where the souls of the righteous compose the figure of the Eagle of divine justice."""
habitat_hell,Hell,ImaginaryPlace,source_dante_inferno,,"""The infernal underworld of Dante's Inferno, realm of the damned."""
habitat_india,India,GeographicPlace,,Terrestrial,
habitat_labyrinth,Labyrinth,ImaginaryPlace,,,"""The mythological maze built by Daedalus in Crete to contain the Minotaur commissioned by King Minos."""
habitat_lonely_mountain,Lonely Mountain (Erebor),ImaginaryPlace,source_the_hobbit,,"""The solitary mountain of Erebor in Tolkien's legendarium, whose excavated halls house the dwarves' kingdom and, after its seizure, the dragon Smaug and his hoard."""
"habitat_middle_earth ","Middle Earth ",ImaginaryPlace,source_lotr,Terrestrial,"""Middle-earth is fictional continent in J.R.R. Tolkien’s fantasy world, as our actual Earth in a mythical, pre-historic past."""
habitat_mount_phicium,Mount Phicium (Thebes),RealWorldPlace,,Terrestrial,"""The mountain near Thebes."""
habitat_mountains,Mountains,RealWorldPlace,,Terrestrial,"""High altitude rocky terrain."""
habitat_neverland,"Neverland ",ImaginaryPlace,"source_peter_pan ",Terrestrial,"""Neverland is a fictional, magical island where children never grow up, inhabited by fairies (like Tinker Bell), mermaids, the Lost Boys (Peter Pan), pirates, and Native Americans."""
habitat_north_pole,"North Pole ",GeographicPlace,,Terrestrial,"""The North Pole, is the the northernmost point on Earth, located at the exact intersection of the planet's axis and its surface, known by its very cold temperatures all year round."""
habitat_ocean,Ocean,RealWorldPlace,,Aquatic,"""The vast salt sea."""
habitat_olympus,"Olympus ",ImaginaryPlace,source_teogonia,Aerial,"""Mount Olympus in greek mythology is the place were the gods live."""
habitat_ravenna,Ravenna,GeographicPlace,,Terrestrial,"""The city of Ravenna in northern Italy."""
habitat_riphean_mountains,Riphean Mountains,ImaginaryPlace,source_orlando_furioso,,"""The Riphean Mountains, a remote and semi-legendary range placed at the far north of the world, beyond the frozen seas; in Ariosto's Orlando Furioso the rare native haunt from which the hippogriff comes."""
habitat_river,River,RealWorldPlace,,Aquatic,"""A flowing freshwater watercourse."""
habitat_subterranean,Subterranean,RealWorldPlace,,Terrestrial,"""The underground realm of caves, tunnels, and buried depths, beneath the surface of the earth."""
habitat_underworld,Underworld (Hades),ImaginaryPlace,source_greek_mythology,,"""The subterranean realm of the dead in Greek mythology, ruled by Hades, whose gates are guarded by Cerberus to prevent the dead from leaving."""
