etymology_id,creature_id,root_term,language,meaning
etymology_acephalus,creature_acephalus,aképhalos,grc,"""Acephalus originates from the Late Latin acephalus. It is rooted in the Ancient Greek aképhalos, which breaks down into the prefix a- (without or not) and kephalē (head)."""
etymology_amelic,creature_amelic,a + mélos,grc,"""The term amelic comes from the Greek prefix a- (without) and mélos (limb), combined with the suffix -ic."""
etymology_ant,creature_ant,Myrmex,grc,"""From Ancient Greek myrmex (μύρμηξ), meaning 'ant'. The term passed into Latin as formica, though the Greek myrmex was retained in learned and naturalistic contexts."""
etymology_antlion,creature_antlion,Myrmekoleon,grc,"""Compound of myrmex (ant) and leon (lion). Derived from a mistranslation of the Hebrew lajisch (lion) in Job 4:11 of the Septuagint, possibly influenced by the classical term myrmex used by Strabo and Aelian for an obscure Arabian lion-like animal."""
etymology_basilisk,creature_basilisk,Basilískos,grc,"""Diminutive of basileus (king), literally little king. Named for the crown-like crest on its head resembling a diadem, reflecting its status as king of serpents."""
etymology_bull,creature_bull,Bule,"non, ang","""From old Norse 'boli bull', male of the domestic bovine, perhaps also from an old English 'bula', both from Proto-Germanic 'bullon-'. Some sources attribute its etymology to a Germanic verbal stem meaning 'to roar', which survives in some German dialect. The other possibility [Watkins] is that the Germanic word is from Proto-Indo-European root 'bhel-', 'to blow, swell'."""
etymology_centaur,creature_centaur,Kentauros,grc,"""From Ancient Greek kentauros (Κένταυρος), of disputed etymology. The most accepted derivation compounds ken- (possibly related to kentein, 'to prick' or 'to spur') and tauros ('bull'), suggesting 'bull-piercer' or 'bull-slayer', possibly referencing early Thessalian horsemen who hunted bulls. Alternative proposals derive it from a pre-Greek substrate language. First attested in Homer's Iliad and Hesiod's Theogony."""
etymology_chimera,creature_chimera,Chimaera,grc,"""From Ancient Greek Khímaira (Χίμαιρα), literally 'she-goat', derived from khímaros (male goat), linked to kheîma (winter), as goats were used to mark the passing of a year. The monster is first attested in Homer's Iliad (VIII century BCE), where it is described as lion in front, serpent behind, and goat in the middle. The name's broader meaning of 'wild impossible fantasy' developed in early modern European languages through Latin Chimaera and Old French Chimere."""
etymology_cow,creature_cow,Gwou,ine,"""The word derives from the Proto-Indo-European root 'gwou-', which indicates the female of a bovine animal."""
etymology_dragon,creature_dragon,Drákōn,grc,"""The word dragon entered the English language in the early 13th century from Old French 'dragon', which, in turn, comes from Latin 'draco', meaning 'huge serpent', from Ancient Greek: δράκων, drákōn, 'serpent'. The Greek and Latin term referred to any great serpent, not necessarily mythological."""
etymology_eagle,creature_eagle,Aquila,la,"""The word comes from the Old French egle, from Old Provençal aigla, from Latin aquila. It refers to a very large diurnal raptorial bird""."
etymology_elf,creature_elf,ælf,ang,"""The Germanic word presumably originally meant 'white one', perhaps as a euphemism."""
etymology_fairy,creature_fairy,Fatum ,la ,"""The Fates were the three mythological goddesses who spun, measured, and cut the thread of human life."""
etymology_fish,creature_fish,Fish,gem,"""The word comes from Proto-Germanic 'fiskaz' which indicates a vertebrate which has grills and fins adapting it for living in the water."""
etymology_giant,creature_giant,Gígas,grc,"""The word Giant comes from the ancient greek Gígas (γίγας) which was used to describe divine and savages human beings."""
etymology_goat,creature_goat,Gaits,enm,"""The word is inherited from Middle English goot, got, gat, from Old English gāt, from Proto-West Germanic 'gait', from Proto-Germanic 'gaits'."""
etymology_hermaphrodite,creature_hermaphrodite,Hermaphroditos,grc,"""The word that refers to a character belonging to greek mythology, the child of Ermes (Ἑρμῆς) and Aphrodite (Aphrodítē). Represented in greek mythology as a female figure with male genitals, they are historically used to describe androgynous and effeminacy."""
etymology_hippogriff,creature_hippogriff,Hippos + grifo,"grc, la","The word derives from the Ancient Greek híppos (horse) and the Italian grifo, which stems from the Late Latin gryphus and the Ancient Greek grýps (γρύψ), meaning griffin."
etymology_horse,creature_horse,Harss,gem,"""The word derives from the Proto-Germanic 'harss-', of unknown origin. By some, connected to Proto-Indo-European root 'kers-' to run, source of Latin currere, to run."" "
etymology_lion,creature_lion,Leo,"grc, la","""The word originated from the latin word 'leo' which means leopard. The word traces back to the ancient greek 'leon' which also meant leopard and has evolved over time to describe the lion, animal belonging to the family of felines."" "
etymology_mandrake,creature_mandrake,Mandragóras,grc,"""The word mandrake derives from the Ancient Greek mandragόras (μανδραγόρας), which traces back to an ancient, non-Indo-European language."""
etymology_manticore,creature_manticore,Martikhórās,grc,"""The English-language term manticore comes via Latin mantichorās, from Ancient Greek μαρτιχόρας (martikhórās). This in turn is a transliteration of an Old Persian compound word consisting of martīya 'man' and xuar- stem, 'to eat', i.e., man-eater."
etymology_medusa,creature_medusa,Medein,grc,"""The name comes from the Ancient Greek verb medein (μήδω), meaning 'to rule over' or 'to protect'. As a proper noun, it translates literally to 'guardian' or 'protector'."""
etymology_minotaur,creature_minotaur,Minṓtauros,grc,"""Compound of Minos (Μίνως) and tauros (ταῦρος) meaning bull. Literally Bull of Minos."""
etymology_ogre,creature_ogre,Orcus,"fr, ett","""The word come from old french originatelly derived from the etruscan Orcu, the good of the underworld punisher of broken oath in etruscan mythology."""
etymology_onager,creature_onager,Onagros,grc,"""From Ancient Greek onagros (ὄναγρος), compound of onos ('donkey') and agrios ('wild'), literally 'wild donkey'. Passed into Latin as onager. The term designated the Asiatic wild ass (Equus hemionus) in ancient natural history, appearing in Aristotle's Historia Animalium and Pliny's Naturalis Historia."""
etymology_onocentaur,creature_onocentaur,Onokentauros,grc,"""From Ancient Greek onokentauros (ὀνοκένταυρος), a compound of onos ('donkey') and kentauros ('centaur'), literally meaning 'donkey-centaur'. The term appears in the Septuagint as a translation of Hebrew im (איִם), a term for a desert creature of uncertain identity, and later in Physiologus where it acquired allegorical Christian meaning representing hypocrisy and the divided self."""
etymology_pegasus,creature_pegasus,Pḗgasos,grc,"""Hesiod connects Pegasus's name to the springs of the Ocean where he was born from Medusa's blood."""
etymology_phoenix,creature_phoenix,Phoinix,grc,"""The word phoenix traces back to the Ancient Greek word phoinix (φοῖνιξ), which originally referred to a mythological firebird."""
etymology_polycephalus,creature_polycephalus_sheep,poly + kephalē,grc,"""Polycephaly is the condition of having more than one head. The term is derived from the Greek stems poly (Greek: πολύ) meaning 'many' and kephalē (Greek: κεφαλή) meaning 'head'."""
etymology_polymelic,creature_polymelic,poly + melos,grc,"""Polymelic comes from the Greek prefix poly- (meaning 'many' or 'much') and melos (meaning 'limb' or 'member')."""
etymology_satyr,creature_satyr,Sátyros,grc,"""The word derives from the ancient greek sathe (σαθη), which refers to the male member and highlights the tendency of satyrs to always be prone to lust."" "
etymology_scorpion,creature_scorpion,Scorpionem,la,"""The word ""'scorpion' originates from the Latin term 'scorpionem', which is derived from the Greek word 'skorpios'. This Greek term is related to the Proto-Indo-European root 'sker-', meaning to cut or to shear."""
etymology_siren,creature_siren,Seirḗn,grc,"""Siren derives from the ancient greek Seirēn, which indicated female mythological creatures endowed with enchanting and often dangerous powers for sailors."""
etymology_snake,creature_snake,Snake,enm,"""The word traces back to the Old English snaca, from Proto-Germanic 'snakon' and from Proto-Indo-European root 'sneg-', to crawl, creeping thing. In Modern English, gradually replacing serpent in popular use."""
etymology_sphinx,creature_sphinx,Sphínx,grc,"""The word originates from the Ancient Greek sphínx, which the Greeks likely derived from their own verb sphíngō, meaning to squeeze or to bind tight""."
